company,founded,segment,status,total_funding_usd_m,acquisition_price_usd_m,latest_valuation_usd_m,valuation_as_of,valuation_notes,latest_revenue_usd_m_approx,latest_revenue_period,latest_revenue_as_reported,employees,employees_as_of,employees_notes,source_id,notes
Unacademy,2015,Test prep / online learning (multi-category),"Active -- agreed to be acquired by upGrad (all-stock term sheet signed Mar 2026, deal not yet closed)",854.3,,500,Dec 2025,"Founder-stated figure is '<$500M'; treated as an approximate upper bound, down from a $3.5B pandemic-era peak in 2021",96,FY25,Rs 826 Cr,1799,Jul 2025,"Tracxn's 1,799 core-team figure conflicts sharply with Latka/PitchBook estimates of ~9,500-9,700, which likely include contract educators/creators, not just FTEs -- both are shown so neither is silently trusted",S22;S45;S49,"Revenue contracted FY23->FY25 (two conflicting FY23 marks exist: ~Rs 1,857 Cr vs ~Rs 1,044 Cr from different aggregators); 2024 layoffs (~12% of workforce); moved offline centres to a franchise model Jan 2026; days after that, agreed to be acquired by upGrad"
Vedantu,2014,K-12 online tutoring,"Active, turned profitable Mar 2025",337,,1000,Sep 2025,"Rs 7,660 Cr converted at time-of-report FX rate",28,FY25,Rs 234 Cr,235,2025,,S25;S46,Unicorn since Sep 2021; eyeing IPO by 2027
upGrad,2015,Higher-ed / professional upskilling,"Active, near-profitable; in the process of acquiring Unacademy (all-stock term sheet, Mar 2026)",329,,2250,Oct 2024,"Rs 16,000 Cr converted at time-of-report FX rate",188,FY25,"Rs 1,569 Cr",,,Not found in this research pass,S27;S49,FY25 loss Rs 274 Cr (down 51% YoY); provisional FY26 (11-mo) PAT turned positive (Rs 38.8 Cr); signed a term sheet to acquire Unacademy in March 2026 in an all-stock deal (not yet closed as of this compilation)
Testbook,2014,Government-exam test prep,Active,13.9,,37,Late 2025,"One estimate only (Rs 308 Cr) -- looks inconsistent with earlier reporting around its 2022 raise; flagged as unreliable, verify before citing externally",16.4,FY24-FY25,Rs 137-154 Cr,715,Aug 2025,-6% YoY,S29;S30;S48,
Simplilearn,2010,Professional / tech upskilling,Majority-acquired by Blackstone (2021),80.8,,610,Mar 2023 (Series E mark),"Rs 4,940 Cr; last funding-round-implied valuation, from the Nov 2022 Series E ($45.5M)",,,,1207,Aug 2025,,S31,Blackstone took majority control July 2021; acquired Fullstack Academy Nov 2022
Toppr,2013 (approx.),K-12 test prep,Wound down / absorbed into Byju's,,150,,,No independent post-acquisition valuation established,,,,100,2022 (post-layoffs),Down from 700+ before the 2022 downturn,S32,Acquired by Byju's (~2021/22); lost 300-350 permanent + 600 contractual staff in the 2022 edtech downturn
WhiteHat Jr,2018 (approx.),Kids' coding education,"Acquired by Byju's, later scaled down",,300,,,No independent post-acquisition valuation established,,,,,,,S11,Acquired by Byju's in 2020; ~300-600 staff laid off in 2022 restructuring
Lido Learning,2019 (approx.),K-12 online tutoring,Shut down (2022),,,,,,,,,,,,S32,"Asked 1,200+ employees to resign in Feb 2022 and filed for insolvency -- one of the first major edtech-funding-winter casualties"
Great Learning,2013 (approx.),Professional / higher-ed upskilling,"Acquired by Byju's (2021), later ring-fenced from Byju's crisis",,600,,,No independent post-acquisition valuation established,118,FY24,$118M (~Rs 992 Cr),,,Not found in this research pass,S33,"+23% YoY revenue growth in FY24, EBITDA and net profit positive; lenders took control of Byju's stake in Oct 2023 to insulate it from the Byju's insolvency"
Doubtnut,2016 (approx.),Doubt-solving / K-12 support (app),Acquired by Allen (2023),,10,,,Acquisition price undisclosed officially; ~$10M is a reported estimate,3.2,FY23,Rs 26.6 Cr,,,,S34,~32M user reach at acquisition; FY22 spent Rs 194 Cr to earn just Rs 10 Cr revenue -- illustrates typical edtech cash-burn ratios of the era
Aakash Educational Services,1988 (approx.),JEE/NEET test prep (classroom + digital),Majority control shifted to Manipal Group (2022-24); settlement with Byju's lenders ongoing,,1000,2000,2025-2026 (settlement in progress),Proposed figure from ongoing lender-settlement talks (Glas Trust negotiating a ~30% stake); not a completed transaction,294,FY24,"Rs 2,438 Cr",5199,Aug 2025,,S35;S36;S47,"Bought by Byju's for ~$1B in 2021; FY24 loss of Rs 2,443 Cr driven by Byju's-linked exceptional items despite flat revenue and positive EBITDA (Rs 307 Cr); Manipal's Ranjan Pai now holds ~60% after a ~Rs 1,400 Cr debt-to-equity conversion"
